category,n_parts,n_occurrences,neural_recall,baseline_recall,neural_lift,neural_wins,baseline_wins,net_neural_advantage
hard,6,486,84.77366255144034,47.94238683127572,36.83127572016462,206,27,179
medium,20,1881,85.85858585858585,56.29984051036683,29.558745348219027,697,141,556
easy,13,1283,62.58768511301637,59.78176149649259,2.8059236165237778,316,280,36
