epoch,step,test_excellent_pct,test_gob_pct,test_good_pct,test_unacceptable_pct,train_loss,val_excellent_pct,val_gob_pct,val_good_pct,val_hits,val_loss
0,9,,,,,0.161829873919487,,,,,
0,19,,,,,0.13857996463775635,,,,,
0,29,,,,,0.11371226608753204,,,,,
0,39,,,,,0.10555284470319748,,,,,
0,49,,,,,0.10232096910476685,,,,,
0,59,,,,,0.1042899638414383,,,,,
0,69,,,,,0.10361500084400177,,,,,
0,79,,,,,0.10349899530410767,,,,,
0,89,,,,,0.10326617956161499,,,,,
0,99,,,,,0.10239475220441818,,,,,
0,109,,,,,0.10260380059480667,,,,,
0,119,,,,,0.10262345522642136,,,,,
0,129,,,,,0.1033262386918068,,,,,
0,139,,,,,0.1027112603187561,,,,,
0,149,,,,,0.10275573283433914,,,,,
0,159,,,,,0.10213404893875122,,,,,
0,168,,,,,,27.071823120117188,68.50828552246094,41.43646240234375,3.8839778900146484,0.1018303856253624
1,169,,,,,0.10239800810813904,,,,,
1,179,,,,,0.10259467363357544,,,,,
1,189,,,,,0.10227472335100174,,,,,
1,199,,,,,0.10310075432062149,,,,,
1,209,,,,,0.10208161920309067,,,,,
1,219,,,,,0.10267480462789536,,,,,
1,229,,,,,0.10259761661291122,,,,,
1,239,,,,,0.10236387699842453,,,,,
1,249,,,,,0.1025390774011612,,,,,
1,259,,,,,0.10209928452968597,,,,,
1,269,,,,,0.10260934382677078,,,,,
1,279,,,,,0.1025703176856041,,,,,
1,289,,,,,0.10224176198244095,,,,,
1,299,,,,,0.1026170551776886,,,,,
1,309,,,,,0.1024220809340477,,,,,
1,319,,,,,0.1031758114695549,,,,,
1,329,,,,,0.10233724117279053,,,,,
1,337,,,,,,27.624309539794922,64.64088439941406,37.01657485961914,3.8287293910980225,0.10194297134876251
2,339,,,,,0.10234054177999496,,,,,
2,349,,,,,0.10251414030790329,,,,,
2,359,,,,,0.10214006155729294,,,,,
2,369,,,,,0.10225650668144226,,,,,
2,379,,,,,0.10225996375083923,,,,,
2,389,,,,,0.10246312618255615,,,,,
2,399,,,,,0.1023215800523758,,,,,
2,409,,,,,0.10136434435844421,,,,,
2,419,,,,,0.10188651829957962,,,,,
2,429,,,,,0.10233873128890991,,,,,
2,439,,,,,0.10254039615392685,,,,,
2,449,,,,,0.10210002213716507,,,,,
2,459,,,,,0.10245682299137115,,,,,
2,469,,,,,0.1023678258061409,,,,,
2,479,,,,,0.10231250524520874,,,,,
2,489,,,,,0.10248765349388123,,,,,
2,499,,,,,0.10260982811450958,,,,,
2,506,,,,,,27.624309539794922,67.95580291748047,40.33149337768555,3.8729281425476074,0.10190905630588531
3,509,,,,,0.10214780271053314,,,,,
3,519,,,,,0.10234736651182175,,,,,
3,529,,,,,0.1023603081703186,,,,,
3,539,,,,,0.10211227089166641,,,,,
