strategy,avg_hits,excellent_pct,good_pct,gob_pct,unacceptable_pct
Global Baseline,3.868673050615595,24.897400820793433,43.77564979480164,68.67305061559507,31.326949384404923
Per-Col Uniform K=6,3.846785225718194,24.48700410396717,41.86046511627907,66.34746922024624,33.65253077975376
Per-Col Optimized K,3.86046511627907,25.581395348837212,41.313269493844054,66.89466484268127,33.10533515731874
Per-Col Full Range,3.826265389876881,25.3077975376197,39.53488372093023,64.84268125854993,35.15731874145007
